teaching,teaching.1,coursecontent,coursecontent.1,examination,Examination,labwork,labwork.1,library_facilities,library_facilities.1,extracurricular,extracurricular.1
-1,I can't understand the method of teaching,1,very Good......and innovative,0,Examination pattern is good but it can be done better,1,practicals are conducted regularly and in appropriate manner,-1,some books are not provided and quality is very bad,-1,No extracurricular activities are conducted
1,The instructor was interested in the students and their progress.,1,The instructor showed enthusiasm for the course component.,-1,He was not prepared to explain the course for examination.,0,The instructor was not prepared for the session but he explained it in a good manner.,-1,The library facilities are not good.,-1,They don't provide the time for extracurricular activities
-1,The instructor don't use any examples for explaination.,-1,The course content provide by this teacher is not sufficient for exams,0,at the time of examination the provided content  is not good but he explain it nicely,1,in practicle exam he helped us a lot,1,the enviroment of library contributed to my spiritual growth.,0,they provide time for extracurricular but don't provide any activities
0,Teaching is good but always late to class,1,Finish course on time,1,Patern is easy,1,Easy,0,All books are not available but hall is quite big,1,Excellent
0,Explaination is poor,0,Never finish course on time,1,Easy,1,Good,1,Good,0,Average
-1,The teaching is slow. They stretch the same thing for a long time. That the students lose interest.,0,The course content is good. But out dated.,0,Examination is okay. But can be good.,1,Good,1,Library is spacious,1,Good
-1,Very poor,1,Quite good course,-1,Poor,1,Excellent,1,Excellent,1,Excellent
0,Content dellivery is not good,0,Some contents are bad,1,Excellent,0,Average,1,Excellent,1,Excellent
-1,Bad,-1,Not covered,-1,Very hard,1,Good,1,Everything is available,-1,No time for extracurricular
1,The instructor showed familiarity with the course material.,-1,The topics and assignments were at an appropriate level of difficulty.,-1,The amount of material covered was inappropriate.,1, The goals were achieved to a significant extent.,1,the environment of library helped us a lot for examination.,-1,they don't provide any work for this
1,Excellent,1,Covers everything,-1,Tough,-1,No focus on labwork,0,Manageable ,1,Extracurricular activities are encouraged
-1,Too fast,1,Course completed in time ,1,Easy to learn pattern ,-1,Manuals weren't upto date ,-1,Books aren't available ,1,Football and cricket included 
1,Explaination is very good,0,Whacky,-1,I hate using my Brain right now,1,I love labs,0,Okayzz,0,Few activities are conducted
1,Remarkable,1,Outstanding,-1,Improvement needed ,1,Successful effort !!!!,1,Good maintainence of books,1,Sports and other induction carried 
1,Right on target,1,Nice,-1,Hard work needed ,0,Superb lab but not that perfect teacher ,1,Awesome ,1,Many activities like singing and others
1,Excellent,-1,Not paying much attention,1,Marvelous ,1,Noteworthy,1,Fabulous,1,Amazingggggggg!!!
1,Extraordinary,1,Good ,1,Superb,1,Clever,-1,Expert needed....,1,Perfect
1,Fine teaching,1,Incredible course contents ,1,Orderly schedule is followed for examination,-1,Improvement is required,1,Gr8 facilities provided,-1,Extracurricular activities should include physical fitness also.
1,Teachers are very professional,1,Course content is interesting,-1,the course content is not enough for examination,1,Equipment in the lab is in good working condition,1,The library staff is cooperative and helpful,1,they provide nice work for curricular activities.
1,Proper teaching is done,1,Great going courses,-1,Exams aren't as per expectations,-1,Doubts aren't cleared,1,"Clear, concise facilities given by library",1,Dedicated efforts are seen for extra curricular activities
1,"very helpful.When you have a problem, they are always ready to help you.",-1,courses content are difficult to understand.,-1,The syllabus for examination is too more than to read.,1,the lab faculty is comparatively better than anything else in the college,1, I was encouraged to think for myself.,1,provide enough time for doing activities
-1,Cooperation needed with students,1,Nice courses,1,Fine work,1,Labs are cleaned ,1,Splendid job,1,Impressive activities are carried out!!
0,Teacher can improve,1,The content is excellent,-1,Examination is not conducted in good manner. It needs improvement,0,Machines are good but practicals are not upto the mark,1,great,1,Lot of activities are conducted
